feature,shap_importance
Rrs_692.0,0.064241104
lon_norm,0.05730122
lat_norm,0.05643521
first_deriv_682.0,0.055426043
first_deriv_530.0,0.049572024
second_deriv_540.0,0.048446015
first_deriv_545.0,0.044891573
second_deriv_490.0,0.040542282
second_deriv_671.0,0.040106717
first_deriv_565.0,0.038821474
first_deriv_507.0,0.038541358
second_deriv_356.0,0.036271878
first_deriv_708.0,0.031521473
second_deriv_542.0,0.029798778
second_deriv_361.0,0.028708119
first_deriv_692.0,0.026402207
first_deriv_696.0,0.02579819
second_deriv_403.0,0.025215564
first_deriv_672.0,0.024789708
first_deriv_542.0,0.021710388
first_deriv_532.0,0.021682644
Rrs_676.0,0.021591736
second_deriv_653.0,0.02143402
Rrs_671.0,0.021005653
second_deriv_505.0,0.019841902
first_deriv_694.0,0.01895045
first_deriv_657.0,0.018628327
first_deriv_683.0,0.017738258
first_deriv_510.0,0.017185792
Rrs_691.0,0.016884653
first_deriv_563.0,0.016167462
second_deriv_665.0,0.016090952
first_deriv_555.0,0.014624106
first_deriv_553.0,0.0143835535
second_deriv_487.0,0.014165454
second_deriv_515.0,0.01409967
second_deriv_462.0,0.013865568
dist_from_center,0.013644244
first_deriv_568.0,0.013405008
first_deriv_699.0,0.013178617
first_deriv_693.0,0.013168534
first_deriv_550.0,0.013107891
Rrs_717.0,0.012876676
first_deriv_668.0,0.0127537465
second_deriv_666.0,0.012697841
second_deriv_660.0,0.0121957185
first_deriv_704.0,0.010944547
first_deriv_681.0,0.010768538
first_deriv_706.0,0.010507244
first_deriv_698.0,0.009370783
first_deriv_691.0,0.00874476
second_deriv_676.0,0.008676272
first_deriv_673.0,0.008553921
first_deriv_670.0,0.0075334897
second_deriv_502.0,0.007232478
Rrs_704.0,0.0070423796
first_deriv_558.0,0.007002237
first_deriv_701.0,0.006915644
first_deriv_676.0,0.0060511786
first_deriv_535.0,0.005703175
Rrs_719.0,0.0053853225
first_deriv_547.0,0.004939851
first_deriv_707.0,0.004265293
Rrs_686.0,0.003779233
first_deriv_655.0,0.0036182432
Rrs_702.0,0.0025644214
second_deriv_565.0,0.001839393
first_deriv_560.0,0.0007423067
first_deriv_703.0,0.0
first_deriv_702.0,0.0
Rrs_681.0,0.0
Rrs_683.0,0.0
Rrs_682.0,0.0
Rrs_684.0,0.0
Rrs_703.0,0.0
Rrs_696.0,0.0
Rrs_679.0,0.0
Rrs_701.0,0.0
first_deriv_697.0,0.0
Rrs_689.0,0.0
Rrs_693.0,0.0
Rrs_688.0,0.0
Rrs_694.0,0.0
first_deriv_540.0,0.0
FLH,0.0
Rrs_678.0,0.0
Rrs_687.0,0.0
Rrs_673.0,0.0
Rrs_697.0,0.0
Rrs_677.0,0.0
Rrs_698.0,0.0
first_deriv_512.0,0.0
Rrs_699.0,0.0
first_deriv_675.0,0.0
Rrs_675.0,0.0
blue_green_ratio,0.0
first_deriv_713.0,0.0
ratio_490_555,0.0
auc_nir,0.0
Rrs_706.0,0.0
