Location_Code,latitude,longitude,time,date,Temp,Avg_Chloro,pDA,tDA,Pn_delicatissima,Pn_seriata,chlor_a,sst,Rrs_346.0,Rrs_348.0,Rrs_351.0,Rrs_353.0,Rrs_356.0,Rrs_358.0,Rrs_361.0,Rrs_363.0,Rrs_366.0,Rrs_368.0,Rrs_371.0,Rrs_373.0,Rrs_375.0,Rrs_378.0,Rrs_380.0,Rrs_383.0,Rrs_385.0,Rrs_388.0,Rrs_390.0,Rrs_393.0,Rrs_395.0,Rrs_398.0,Rrs_400.0,Rrs_403.0,Rrs_405.0,Rrs_408.0,Rrs_410.0,Rrs_413.0,Rrs_415.0,Rrs_418.0,Rrs_420.0,Rrs_422.0,Rrs_425.0,Rrs_427.0,Rrs_430.0,Rrs_432.0,Rrs_435.0,Rrs_437.0,Rrs_440.0,Rrs_442.0,Rrs_445.0,Rrs_447.0,Rrs_450.0,Rrs_452.0,Rrs_455.0,Rrs_457.0,Rrs_460.0,Rrs_462.0,Rrs_465.0,Rrs_467.0,Rrs_470.0,Rrs_472.0,Rrs_475.0,Rrs_477.0,Rrs_480.0,Rrs_482.0,Rrs_485.0,Rrs_487.0,Rrs_490.0,Rrs_492.0,Rrs_495.0,Rrs_497.0,Rrs_500.0,Rrs_502.0,Rrs_505.0,Rrs_507.0,Rrs_510.0,Rrs_512.0,Rrs_515.0,Rrs_517.0,Rrs_520.0,Rrs_522.0,Rrs_525.0,Rrs_527.0,Rrs_530.0,Rrs_532.0,Rrs_535.0,Rrs_537.0,Rrs_540.0,Rrs_542.0,Rrs_545.0,Rrs_547.0,Rrs_550.0,Rrs_553.0,Rrs_555.0,Rrs_558.0,Rrs_560.0,Rrs_563.0,Rrs_565.0,Rrs_568.0,Rrs_570.0,Rrs_573.0,Rrs_575.0,Rrs_578.0,Rrs_580.0,Rrs_583.0,Rrs_586.0,Rrs_588.0,Rrs_613.0,Rrs_615.0,Rrs_618.0,Rrs_620.0,Rrs_623.0,Rrs_625.0,Rrs_627.0,Rrs_630.0,Rrs_632.0,Rrs_635.0,Rrs_637.0,Rrs_640.0,Rrs_641.0,Rrs_642.0,Rrs_643.0,Rrs_645.0,Rrs_646.0,Rrs_647.0,Rrs_648.0,Rrs_650.0,Rrs_651.0,Rrs_652.0,Rrs_653.0,Rrs_655.0,Rrs_656.0,Rrs_657.0,Rrs_658.0,Rrs_660.0,Rrs_661.0,Rrs_662.0,Rrs_663.0,Rrs_665.0,Rrs_666.0,Rrs_667.0,Rrs_668.0,Rrs_670.0,Rrs_671.0,Rrs_672.0,Rrs_673.0,Rrs_675.0,Rrs_676.0,Rrs_677.0,Rrs_678.0,Rrs_679.0,Rrs_681.0,Rrs_682.0,Rrs_683.0,Rrs_684.0,Rrs_686.0,Rrs_687.0,Rrs_688.0,Rrs_689.0,Rrs_691.0,Rrs_692.0,Rrs_693.0,Rrs_694.0,Rrs_696.0,Rrs_697.0,Rrs_698.0,Rrs_699.0,Rrs_701.0,Rrs_702.0,Rrs_703.0,Rrs_704.0,Rrs_706.0,Rrs_707.0,Rrs_708.0,Rrs_709.0,Rrs_711.0,Rrs_712.0,Rrs_713.0,Rrs_714.0,Rrs_717.0,Rrs_719.0
HAB_SCW,36.958,-122.017,2024-03-06T16:30:00Z,2024-03-06,13.50,2.16,0.331107,,,1600,24.73671531677246,11.46889019,0.003359334,0.00376289,0.003970223,0.003913556,0.003956223,0.00425489,0.004320668,0.00433,0.004368667,0.00419489,0.004003779,0.004167779,0.004312223,0.003988668,0.003849334,0.004200001,0.004365779,0.004230445,0.003999334,0.003997334,0.004372445,0.00438889,0.004014445,0.003750446,0.003708001,0.00365689,0.003596224,0.003556445,0.003518668,0.003535334,0.003521779,0.00349889,0.003499112,0.00354889,0.003686667,0.003712001,0.00361489,0.00360489,0.003630667,0.003615334,0.003662223,0.003745557,0.003760667,0.003758222,0.00377489,0.003789335,0.003820667,0.003818889,0.003813778,0.003800445,0.003811112,0.003840446,0.003872001,0.003905557,0.003957778,0.003985335,0.004067112,0.004153112,0.004122223,0.004098223,0.00410289,0.004083556,0.004085557,0.004095556,0.00406889,0.00398889,0.003885334,0.003778445,0.003732223,0.003754223,0.003770446,0.003759557,0.003787112,0.003794001,0.003776223,0.003751112,0.003739334,0.003727555,0.003726223,0.003696001,0.003635778,0.003555779,0.00347489,0.003410668,0.003363334,0.003338001,0.003307556,0.00324889,0.003166223,0.003063334,0.002934223,0.002772889,0.002594445,0.002428223,0.002278446,0.00211889,0.001954667,0.001782,0.00057,0.000547334,0.000524224,0.000487779,0.000461112,0.000438667,0.00041089,0.000387557,0.000393557,0.000398223,0.000395334,0.000390891,0.000394667,0.000388668,0.000388889,0.000394224,0.000389779,0.00038489,0.000372445,0.000357111,0.000338223,0.000326889,0.00032089,0.000312668,0.000309556,0.000295111,0.000283112,0.000262445,0.000243334,0.000231112,0.000220445,0.000213556,0.000211779,0.000210444,0.000216001,0.000221334,0.000231557,0.000243112,0.000250445,0.000259112,0.000263779,0.000270668,0.000276445,0.000279112,0.000279334,0.000276223,0.000270446,0.000262,0.000240223,0.000215335,0.000192001,0.00019089,0.000203556,0.000211779,0.000211111,0.000187112,0.000169112,0.000159334,0.000161334,0.00016889,0.000172668,0.000175779,0.000171111,0.000170223,0.000172668,0.000168889,0.000168223,0.000163112,0.000154667,0.000150224,0.000144667,0.000131779,4.911174255539663e-05,-4.64E-05
SW,34.408043,-119.68485,2024-03-11T14:15:00Z,2024-03-11,12.80,3.751,0.048,,28080,35320,7.686532974243164,13.52624989,-0.00421911,-0.003728666,-0.003353554,-0.003144444,-0.002847554,-0.002325999,-0.00200911,-0.001826443,-0.001671555,-0.001640888,-0.001592443,-0.00126711,-0.000956222,-0.001104666,-0.001064221,-0.000619111,-0.000327776,-0.000296666,-0.000388222,-0.000286222,0.000165556,0.000283779,5.200132727622986e-05,-9.07E-05,-4.02E-05,-1.51E-05,-6.65E-07,3.888996070600115e-05,8.977866673376411e-05,0.000158668,0.000196667,0.000245779,0.000294223,0.000388668,0.000563112,0.000624889,0.000575557,0.000604668,0.000656445,0.000701334,0.000792223,0.000898224,0.000945112,0.000985779,0.001035111,0.001076667,0.001137112,0.001178445,0.001204001,0.001220446,0.001268001,0.001330223,0.001390446,0.001464446,0.001525111,0.001548668,0.001618223,0.001696223,0.001675557,0.00167,0.001686001,0.001696001,0.001720445,0.001745334,0.001752223,0.001718,0.001669334,0.001618668,0.001607112,0.001642223,0.001666668,0.001672445,0.001714001,0.001741334,0.001740445,0.001737556,0.001743557,0.001743779,0.001748668,0.001741334,0.001715112,0.001677112,0.001637779,0.001605112,0.001590445,0.001592668,0.001586446,0.001559557,0.001515334,0.001458223,0.001393779,0.001304223,0.0012,0.001098668,0.000995779,0.000887779,0.000776445,0.000681556,1.600012183189392e-05,8.001095920917578e-06,-6.00E-06,-2.36E-05,-3.38E-05,-4.22E-05,-5.02E-05,-5.40E-05,-5.13E-05,-5.13E-05,-4.96E-05,-4.93E-05,-5.02E-05,-5.00E-05,-4.80E-05,-4.11E-05,-4.11E-05,-4.22E-05,-4.93E-05,-6.20E-05,-7.07E-05,-7.64E-05,-7.49E-05,-7.33E-05,-7.42E-05,-8.09E-05,-9.07E-05,-0.000104888,-0.000115109,-0.000120444,-0.000124,-0.000123777,-0.000119555,-0.00011511,-0.000105332,-9.67E-05,-8.44E-05,-7.09E-05,-5.73E-05,-4.36E-05,-3.29E-05,-2.24E-05,-1.04E-05,-6.66E-07,3.556824367478839e-06,4.22323728344054e-06,2.4454461708955932e-06,2.667721673788037e-06,-5.55E-06,-1.42E-05,-2.53E-05,-2.58E-05,-1.91E-05,-1.73E-05,-2.38E-05,-4.76E-05,-6.16E-05,-6.64E-05,-6.13E-05,-5.24E-05,-4.64E-05,-4.11E-05,-3.87E-05,-3.22E-05,-2.53E-05,-1.93E-05,-1.38E-05,-1.13E-05,-1.07E-05,-8.44E-06,-5.78E-06,-9.78E-06,-6.58E-05,-0.000136221
CPP,35.170204,-120.740685,2024-03-11T16:00:00Z,2024-03-11,12.90,3.71,0,,1599.2302,9595.381,4.466504096984863,13.88999367,0.003372002,0.003646001,0.003800001,0.003506001,0.003704,0.004144002,0.003984001,0.003862001,0.003839999,0.003653999,0.003462002,0.003667999,0.003822003,0.003392,0.0033,0.003692001,0.003728002,0.003526002,0.003171999,0.003124002,0.003548,0.003432002,0.003036,0.002752002,0.002615999,0.002518002,0.002454001,0.002410002,0.002351999,0.002346002,0.002289999,0.002234001,0.002160002,0.002164003,0.002286002,0.002318002,0.002178002,0.002103999,0.002128001,0.002130002,0.002132002,0.002136,0.002119999,0.002132002,0.002168,0.002146002,0.00217,0.002172001,0.002119999,0.002102003,0.002136,0.00217,0.002222002,0.002236001,0.002224002,0.00223,0.002288003,0.002342001,0.002276,0.002246,0.002248,0.002240002,0.002254002,0.002302002,0.002308,0.002256002,0.002172001,0.002100002,0.002096001,0.002108,0.002116002,0.002087999,0.002102003,0.002119999,0.002082001,0.002044,0.002094001,0.002098002,0.002086002,0.002082001,0.002028,0.001984,0.001928002,0.001880001,0.00186,0.001862001,0.001864001,0.001804002,0.00175,0.001724001,0.001666002,0.001564,0.001456,0.001362,0.001262002,0.001156002,0.001038,0.000944,0.000184,0.000154,0.000151999,0.000142001,0.000144001,0.000144001,0.000114001,0.000108,0.000122,0.000122,0.000126,0.000112001,0.000105999,0.000108,0.000122,0.000134002,0.000128001,0.000132002,0.000119999,0.000114001,0.000100002,9.400025010108948e-05,8.999928832054138e-05,8.00006091594696e-05,9.199976921081543e-05,8.200109004974365e-05,8.00006091594696e-05,6.600096821784973e-05,5.200132727622986e-05,3.8001686334609985e-05,4.000216722488403e-05,3.8001686334609985e-05,3.8001686334609985e-05,5.799904465675354e-05,5.999952554702759e-05,8.40015709400177e-05,0.000105999,0.000114001,0.00014,0.000164002,0.000166003,0.000174001,0.000188001,0.000194002,0.000216,0.000222001,0.000216,0.000210002,0.000194002,0.000194002,0.000180002,0.000176001,0.000167999,0.000162002,0.000164002,0.000144001,0.000122,0.000105999,0.000102002,9.800121188163757e-05,0.000100002,0.000105999,0.000104003,0.00011,0.000112001,0.000105999,9.600073099136353e-05,9.400025010108948e-05,9.400025010108948e-05,9.600073099136353e-05,9.600073099136353e-05,8.40015709400177e-05,2.7999281883239746e-05,-3.20E-05
SIO,32.867,-117.257,2024-03-11T19:15:00Z,2024-03-11,15.90,2.75,0,,1252,0,1.6373214721679688,16.09443855,-0.001355499,-0.000853249,-0.000461999,-0.00028425,-2.55E-05,0.000409001,0.000626001,0.000775751,0.00093725,0.000957501,0.000972501,0.00128025,0.001530751,0.00135425,0.0013705,0.001814251,0.002097501,0.002129252,0.002049501,0.002141751,0.002582001,0.002684751,0.002432751,0.00227475,0.002345751,0.002377501,0.00238025,0.002414001,0.002448001,0.002515251,0.002565001,0.002619001,0.002659001,0.002734501,0.002893001,0.00292975,0.002855001,0.002868001,0.002879501,0.002874501,0.002924751,0.002959501,0.002931001,0.002932251,0.002975501,0.003017751,0.003078251,0.003120002,0.003136751,0.003142751,0.003153001,0.003157751,0.003165001,0.00317175,0.003177751,0.0031595,0.003180251,0.003208251,0.003132751,0.003050251,0.002972501,0.002882001,0.0028015,0.002726,0.002610501,0.002443501,0.002248001,0.002066252,0.001951251,0.001918751,0.001894502,0.001859001,0.001844251,0.001834751,0.001797501,0.001742001,0.001704501,0.001653751,0.001613501,0.001563501,0.001488501,0.001421001,0.001353751,0.001284501,0.001233251,0.00120025,0.001172001,0.001127001,0.001074001,0.00101875,0.000957001,0.000877001,0.000786001,0.000701251,0.000620502,0.00054575,0.000469251,0.000414,-3.05E-05,-3.75E-05,-5.12E-05,-6.05E-05,-6.72E-05,-6.72E-05,-6.80E-05,-7.45E-05,-7.52E-05,-7.12E-05,-6.82E-05,-6.05E-05,-5.82E-05,-5.90E-05,-5.90E-05,-5.35E-05,-5.30E-05,-5.07E-05,-5.42E-05,-6.07E-05,-7.15E-05,-8.05E-05,-8.37E-05,-8.50E-05,-7.87E-05,-8.22E-05,-8.75E-05,-9.65E-05,-0.000108249,-0.00011225,-0.000117749,-0.000117749,-0.000120999,-0.000120749,-0.000119999,-0.000118499,-0.000117499,-0.000116748,-0.000115999,-0.000114249,-0.000113999,-0.000111999,-0.000107499,-0.000105499,-0.000102249,-0.0001065,-0.000106249,-0.000107749,-0.000111999,-0.000108999,-0.000110749,-0.00010025,-8.50E-05,-8.00E-05,-7.52E-05,-8.67E-05,-9.27E-05,-9.12E-05,-8.20E-05,-7.17E-05,-6.15E-05,-5.12E-05,-5.07E-05,-4.40E-05,-3.75E-05,-3.50E-05,-2.90E-05,-2.75E-05,-2.57E-05,-2.60E-05,-2.05E-05,-2.25E-05,-5.25E-05,-9.65E-05
SMP,34.008,-118.499,2024-03-11T20:00:00Z,2024-03-11,14.90,1.5,0,,6358,1122,1.3208357095718384,15.36999416,-0.003184285,-0.002674855,-0.002351714,-0.002180571,-0.001862856,-0.001373999,-0.001125714,-0.000954856,-0.000813999,-0.000843714,-0.000856856,-0.000551999,-0.000219999,-0.000420857,-0.000388855,0.000134001,0.000458001,0.000507716,0.000452286,0.000576858,0.001061144,0.001290857,0.001121715,0.000977429,0.001068858,0.001152287,0.001213143,0.001280573,0.001323429,0.001396858,0.00145143,0.001504001,0.00153743,0.001607716,0.001769429,0.001840572,0.001800286,0.001837715,0.001872571,0.001891144,0.001979716,0.002088572,0.002110859,0.002117429,0.00215343,0.002206573,0.002275715,0.002311716,0.002334858,0.002334287,0.002347144,0.002393715,0.002445429,0.002474001,0.002504573,0.002510287,0.002572858,0.002662287,0.002638001,0.002605143,0.002595429,0.002576573,0.002558287,0.002564572,0.002552001,0.002468858,0.002352858,0.002234001,0.002168573,0.002181716,0.002200286,0.002200001,0.002230001,0.002246572,0.002226858,0.002196572,0.002180858,0.00217143,0.00216343,0.002128286,0.002078,0.002006001,0.001938858,0.001879143,0.001841716,0.001826286,0.001792572,0.001748857,0.00169943,0.001631143,0.001546286,0.001429428,0.001300001,0.00117143,0.001054001,0.000935429,0.000818572,0.000720001,-0.000166571,-0.000177999,-0.000190285,-0.000209714,-0.000219429,-0.000219999,-0.00022057,-0.000228856,-0.000228856,-0.000224285,-0.000224,-0.000225428,-0.000230571,-0.000227999,-0.000223713,-0.000216285,-0.000209714,-0.000209142,-0.000210856,-0.00021857,-0.000232571,-0.000243142,-0.000249142,-0.000253999,-0.000257142,-0.000267714,-0.000282285,-0.000298285,-0.000315713,-0.000324571,-0.000333714,-0.000336285,-0.000337142,-0.000339142,-0.000336285,-0.000336856,-0.000333999,-0.000330285,-0.000324856,-0.000318,-0.000313714,-0.000309713,-0.000305428,-0.000300286,-0.000298857,-0.0003,-0.000298285,-0.000296285,-0.000291428,-0.000283714,-0.000281142,-0.000272285,-0.000261999,-0.000255713,-0.000251999,-0.000261999,-0.000266571,-0.000266856,-0.000257713,-0.000242285,-0.000229141,-0.000213999,-0.00021057,-0.000202285,-0.000193427,-0.000189427,-0.000177428,-0.000169714,-0.000167143,-0.000156856,-0.00014857,-0.000144857,-0.000161143,-0.000198571
HAB_SCW,36.958,-122.017,2024-03-13T16:00:00Z,2024-03-13,13.20,2.49,0.080481,,,650,0.5659656524658203,11.46889019,-0.000278444,-9.38E-05,7.04452395439148e-05,7.666730380151421e-05,0.000163112,0.000484001,0.000700223,0.00079889,0.000849557,0.000799112,0.000762001,0.000940224,0.001132889,0.000966001,0.00088689,0.001129779,0.001294889,0.001456001,0.001504222,0.001528668,0.001858445,0.001963557,0.001766001,0.00159689,0.001579334,0.001425556,0.001276889,0.001298668,0.001324668,0.001366223,0.001383334,0.001400224,0.001432445,0.001489112,0.001628223,0.001680223,0.001633557,0.001655112,0.001699335,0.001750223,0.001838668,0.001988,0.002093112,0.002126001,0.002177112,0.002210446,0.002253778,0.002288889,0.002314223,0.002284667,0.002290668,0.002365556,0.002438445,0.002523556,0.002587557,0.00262289,0.002687779,0.002740667,0.002730001,0.002745112,0.002782,0.002822001,0.00287289,0.002951334,0.003016668,0.003042,0.003046001,0.003036223,0.003067112,0.003141778,0.003220668,0.003273778,0.003342445,0.003402667,0.003441556,0.003472668,0.003516668,0.003551778,0.003588001,0.003617778,0.003629335,0.003630223,0.003636223,0.003627556,0.003643334,0.003666889,0.003688668,0.003677778,0.003655111,0.003598223,0.003509112,0.003390223,0.003234001,0.003055112,0.002853779,0.002632223,0.002415778,0.002219778,0.000863334,0.000837779,0.000822001,0.000799112,0.000786223,0.000771335,0.000755335,0.000738001,0.000725556,0.000710445,0.000694445,0.000678889,0.000672223,0.000664446,0.000661112,0.000667557,0.000667779,0.000665112,0.000650001,0.000635111,0.00061489,0.000597112,0.000580446,0.00056089,0.000543334,0.000518667,0.000494001,0.000468667,0.000448668,0.000432668,0.000422223,0.000418667,0.000422223,0.000425334,0.000441556,0.000456223,0.000471556,0.000492001,0.000515557,0.000537334,0.000555113,0.000573779,0.000589112,0.000600668,0.000607334,0.00060889,0.000608445,0.000605334,0.000592445,0.000581556,0.000565112,0.000557556,0.000552668,0.000538001,0.000516446,0.000480445,0.000448445,0.000430223,0.000416223,0.000409557,0.000398445,0.000390001,0.000376224,0.000367778,0.000358223,0.000346668,0.000334223,0.00031889,0.000305334,0.00029289,0.000283557,0.000268445,0.000181557,9.133418643614277e-05
CPP,35.170204,-120.740685,2024-03-17T16:00:00Z,2024-03-17,13.20,1.71,0,,14393.071,17591.531,3.5430781841278076,13.25999355,-0.001240749,-0.000971499,-0.000739999,-0.0006685,-0.0005315,-0.000202498,1.2001488357782364e-05,0.000108751,0.000143,0.000103501,7.300078868865967e-05,0.000236,0.000430502,0.000278001,0.000208252,0.000453501,0.000594751,0.000740501,0.000776751,0.000790501,0.001092752,0.00118175,0.000982,0.000817252,0.000803251,0.0006545,0.000507001,0.000526251,0.000555502,0.000591751,0.000605501,0.000628,0.000660751,0.000721501,0.00085,0.00089775,0.0008535,0.000875751,0.00091825,0.000971751,0.001055751,0.001189001,0.001284001,0.00132275,0.001376,0.001408501,0.001449001,0.001493,0.001525001,0.001512001,0.001527001,0.001602251,0.00167725,0.001761,0.001824501,0.001860751,0.001922501,0.001969501,0.001955751,0.001966501,0.001997501,0.00202775,0.002068751,0.002135251,0.002191001,0.00220925,0.00220875,0.002196251,0.002223751,0.002294251,0.002366001,0.002414001,0.002476251,0.002532001,0.002566501,0.002591251,0.002626001,0.002651001,0.002677,0.002702001,0.002709001,0.002715251,0.002721251,0.002714001,0.002729751,0.002747001,0.00276175,0.002750001,0.002722251,0.002675251,0.002597752,0.002494251,0.002360251,0.002206751,0.002030751,0.001843001,0.001664001,0.001514251,0.000399,0.000374501,0.000364501,0.000349501,0.00034075,0.000338001,0.000337001,0.000330251,0.000311501,0.000293001,0.000284002,0.000276251,0.000270501,0.000263501,0.000263751,0.000271751,0.000275502,0.000278502,0.000268001,0.000255251,0.000235751,0.000217,0.000202001,0.000185751,0.000173501,0.000155001,0.0001355,0.000114501,9.850086644291878e-05,8.650077506899834e-05,8.075078949332237e-05,8.050119504332542e-05,8.500088006258011e-05,9.200116619467735e-05,0.000108001,0.000122751,0.000139751,0.000160251,0.00018325,0.00020475,0.00022475,0.000244001,0.000260251,0.000273251,0.000281251,0.00028425,0.000287001,0.000291501,0.000291501,0.0002955,0.000292751,0.000289751,0.000281751,0.000265251,0.000245,0.0002145,0.000187751,0.000175002,0.000166001,0.000165251,0.000161001,0.000157251,0.000148751,0.000144501,0.000139501,0.000134251,0.000128751,0.000119001,0.00011225,0.000106251,0.00010275,9.725010022521019e-05,4.325062036514282e-05,-1.75E-05
SW,34.408043,-119.68485,2024-03-18T14:45:00Z,2024-03-18,12.90,3.778,0,,67450,7240,,13.52624989,0.001196446,0.00139889,0.001555112,0.001521556,0.001564667,0.001824223,0.001963556,0.002021112,0.002011334,0.001916223,0.001821112,0.00192689,0.002073112,0.001871778,0.001721556,0.001899556,0.001994445,0.002107334,0.002101778,0.002057557,0.00231489,0.002369778,0.002135556,0.001935334,0.001884667,0.001700445,0.001518001,0.001504446,0.001494001,0.001494668,0.001473779,0.001459111,0.001449334,0.001469778,0.001557334,0.001573556,0.001498668,0.001481557,0.001482224,0.001491778,0.001538668,0.001647779,0.001716445,0.00171889,0.001738446,0.001745334,0.001762668,0.001780224,0.001787334,0.00174289,0.001728444,0.001781334,0.001833335,0.001888889,0.001925112,0.00193089,0.001965556,0.001996445,0.001964889,0.001955335,0.001967112,0.001975556,0.001990889,0.002021778,0.002047779,0.00204889,0.002035778,0.002018222,0.002029778,0.002074001,0.002117779,0.002139335,0.002174223,0.002207112,0.002225335,0.002238445,0.002260001,0.002273112,0.002288223,0.002305335,0.00231289,0.002322222,0.002331334,0.002331113,0.002343779,0.002358445,0.002375556,0.002373556,0.002357334,0.002319779,0.002257335,0.002176001,0.002064223,0.001932446,0.001779334,0.001616223,0.001457779,0.001318668,0.000475556,0.000454223,0.00044489,0.00043489,0.000427557,0.000424667,0.000418668,0.000412667,0.000401112,0.000383779,0.000374001,0.000367112,0.000361779,0.000356001,0.000355557,0.000358668,0.000356001,0.000353112,0.000342,0.000329334,0.000315556,0.000302445,0.000291778,0.000281112,0.000274446,0.000263557,0.000251779,0.000237112,0.000226445,0.000218445,0.000213556,0.000215556,0.000221779,0.000229779,0.000246445,0.000263111,0.000279779,0.000299334,0.000320223,0.000340667,0.00035889,0.000375335,0.000389779,0.000400667,0.000407556,0.00040889,0.000409112,0.000408001,0.000401557,0.00039889,0.000391557,0.000387556,0.00038089,0.00036289,0.000338667,0.000303334,0.000275112,0.000260001,0.000251112,0.000245334,0.000238223,0.00023289,0.000225335,0.000221335,0.000218001,0.000212001,0.000206223,0.000196889,0.000187779,0.000180223,0.000175779,0.000165112,9.644486999604851e-05,2.066749584628269e-05
SMP,34.008,-118.499,2024-03-18T18:00:00Z,2024-03-18,15.10,1.96,0,,6732,11594,5.341494083404541,14.76999378,0.001416001,0.001580572,0.001700001,0.00171143,0.001826001,0.002110572,0.002288572,0.002412858,0.002427715,0.002304001,0.002194572,0.002377429,0.002572001,0.002370572,0.002270287,0.002548859,0.002718859,0.002852287,0.00285943,0.002858286,0.003203144,0.003282572,0.003009429,0.002805715,0.002783144,0.002624858,0.002454858,0.002453429,0.002455716,0.002450858,0.002436287,0.002432573,0.002417429,0.002457715,0.002570287,0.00259943,0.002520287,0.002484286,0.00246943,0.002470286,0.002523715,0.002646858,0.002718858,0.002701715,0.002698859,0.002706286,0.002739143,0.002755143,0.002750859,0.002673715,0.002640286,0.002691143,0.002733715,0.002764286,0.002796,0.002814001,0.002866287,0.002910001,0.00286543,0.002836001,0.002832572,0.00281543,0.002793429,0.002819715,0.002831144,0.00278743,0.002726286,0.002646572,0.002611429,0.002634001,0.002664573,0.002665429,0.002681429,0.002681715,0.002665143,0.002656572,0.002651715,0.002646858,0.002640001,0.002630287,0.002603716,0.002568572,0.002521716,0.002474287,0.002448001,0.002428573,0.002407715,0.002375143,0.002328858,0.002257715,0.002159429,0.002035429,0.001891716,0.001746286,0.00159743,0.001441429,0.001303429,0.001201144,0.000284858,0.000272,0.000260001,0.000242001,0.000232287,0.000230858,0.000238,0.000229716,0.000210858,0.000197429,0.000188857,0.000186002,0.000183715,0.000183144,0.000190858,0.000198001,0.000202286,0.000203715,0.000189429,0.000177144,0.000161144,0.000152286,0.000145716,0.000138287,0.000128,0.000111143,9.371446503791958e-05,7.5429146818351e-05,6.542940536746755e-05,5.3715491958428174e-05,4.7429864935111254e-05,4.4572567276190966e-05,4.542991518974304e-05,4.4858348701382056e-05,5.400021109380759e-05,6.114372081356123e-05,6.742934783687815e-05,7.571439346065745e-05,8.428682485828176e-05,9.342974954051897e-05,0.000102286,0.000110286,0.000118287,0.000122001,0.000124858,0.000123144,0.000124287,0.000132287,0.000140572,0.000157144,0.000164287,0.000168573,0.000160572,0.000142857,0.000124001,9.428656630916521e-05,7.05718994140625e-05,5.857220821781084e-05,5.971480641164817e-05,6.200053758220747e-05,6.142897473182529e-05,6.628568371525034e-05,6.400101847248152e-05,6.371523340931162e-05,6.542940536746755e-05,6.0572154325200245e-05,5.971480641164817e-05,5.571491055889055e-05,5.457284350995906e-05,5.543019142351113e-05,5.8572739362716675e-05,5.4572308727074414e-05,1.5144369172048755e-05,-3.37E-05
SIO,32.867,-117.257,2024-03-18T19:00:00Z,2024-03-18,16.60,3.39,0,,13768,6884,2.9944374561309814,15.81221676,0.004074223,0.004237779,0.004391778,0.004373112,0.004464668,0.004735112,0.004867112,0.004993557,0.005000446,0.004911556,0.004828445,0.004979112,0.005162667,0.004957556,0.00482489,0.005082223,0.005229334,0.005331112,0.00531689,0.005321556,0.005628,0.005682223,0.005412223,0.005184445,0.005127335,0.004931557,0.004740001,0.004707334,0.004703779,0.004715556,0.004675334,0.004627557,0.004593778,0.00461489,0.004708001,0.004689555,0.004559113,0.004499334,0.004463112,0.004418001,0.004407334,0.004474224,0.004498445,0.004450223,0.004438,0.00442889,0.004443334,0.004435556,0.004411113,0.004323334,0.004255112,0.004260001,0.004249556,0.004235778,0.004232223,0.004203334,0.004198668,0.004184889,0.004080668,0.003986446,0.003902446,0.003811779,0.003720223,0.003630889,0.003525557,0.003380668,0.00319289,0.003006001,0.002895334,0.002857334,0.002826001,0.002782001,0.002751556,0.002712445,0.002653333,0.002593112,0.002551557,0.002502223,0.002454444,0.002407112,0.00233689,0.002270223,0.002203779,0.00213289,0.002081556,0.002045779,0.00202,0.001979779,0.001933334,0.001875557,0.001801779,0.001715557,0.001612445,0.001500668,0.001377557,0.00125289,0.001146445,0.001064668,0.00045089,0.000433334,0.000419335,0.000414001,0.000405779,0.000403778,0.000401779,0.000396224,0.000384667,0.000369779,0.000356668,0.000350001,0.000345113,0.000343334,0.000347779,0.000351334,0.000353112,0.000351334,0.00034289,0.000330668,0.000319335,0.000307779,0.000298223,0.000289112,0.000282223,0.000271556,0.000262223,0.000250445,0.000236668,0.000227334,0.000219779,0.000214446,0.000212,0.000207778,0.000207779,0.000209557,0.000208445,0.000205334,0.000210002,0.000210668,0.000212445,0.00021289,0.000214223,0.00021489,0.000214446,0.000211334,0.000212889,0.000213334,0.000214,0.000228445,0.000231112,0.000243556,0.00024889,0.00023889,0.000227113,0.000201334,0.000178889,0.000165556,0.000164667,0.000166001,0.000167779,0.000173557,0.000172001,0.000172223,0.000175557,0.000172889,0.000172223,0.000166446,0.000159334,0.000155556,0.000155334,0.000147112,9.200059866998345e-05,3.1556934118270874e-05
