Location_Code,latitude,longitude,time,date,Temp,Avg_Chloro,pDA,tDA,sst,chlor_a,Pn_delicatissima,Pn_seriata,Rrs_346.0,Rrs_348.0,Rrs_351.0,Rrs_353.0,Rrs_356.0,Rrs_358.0,Rrs_361.0,Rrs_363.0,Rrs_366.0,Rrs_368.0,Rrs_371.0,Rrs_373.0,Rrs_375.0,Rrs_378.0,Rrs_380.0,Rrs_383.0,Rrs_385.0,Rrs_388.0,Rrs_390.0,Rrs_393.0,Rrs_395.0,Rrs_398.0,Rrs_400.0,Rrs_403.0,Rrs_405.0,Rrs_408.0,Rrs_410.0,Rrs_413.0,Rrs_415.0,Rrs_418.0,Rrs_420.0,Rrs_422.0,Rrs_425.0,Rrs_427.0,Rrs_430.0,Rrs_432.0,Rrs_435.0,Rrs_437.0,Rrs_440.0,Rrs_442.0,Rrs_445.0,Rrs_447.0,Rrs_450.0,Rrs_452.0,Rrs_455.0,Rrs_457.0,Rrs_460.0,Rrs_462.0,Rrs_465.0,Rrs_467.0,Rrs_470.0,Rrs_472.0,Rrs_475.0,Rrs_477.0,Rrs_480.0,Rrs_482.0,Rrs_485.0,Rrs_487.0,Rrs_490.0,Rrs_492.0,Rrs_495.0,Rrs_497.0,Rrs_500.0,Rrs_502.0,Rrs_505.0,Rrs_507.0,Rrs_510.0,Rrs_512.0,Rrs_515.0,Rrs_517.0,Rrs_520.0,Rrs_522.0,Rrs_525.0,Rrs_527.0,Rrs_530.0,Rrs_532.0,Rrs_535.0,Rrs_537.0,Rrs_540.0,Rrs_542.0,Rrs_545.0,Rrs_547.0,Rrs_550.0,Rrs_553.0,Rrs_555.0,Rrs_558.0,Rrs_560.0,Rrs_563.0,Rrs_565.0,Rrs_568.0,Rrs_570.0,Rrs_573.0,Rrs_575.0,Rrs_578.0,Rrs_580.0,Rrs_583.0,Rrs_586.0,Rrs_588.0,Rrs_613.0,Rrs_615.0,Rrs_618.0,Rrs_620.0,Rrs_623.0,Rrs_625.0,Rrs_627.0,Rrs_630.0,Rrs_632.0,Rrs_635.0,Rrs_637.0,Rrs_640.0,Rrs_641.0,Rrs_642.0,Rrs_643.0,Rrs_645.0,Rrs_646.0,Rrs_647.0,Rrs_648.0,Rrs_650.0,Rrs_651.0,Rrs_652.0,Rrs_653.0,Rrs_655.0,Rrs_656.0,Rrs_657.0,Rrs_658.0,Rrs_660.0,Rrs_661.0,Rrs_662.0,Rrs_663.0,Rrs_665.0,Rrs_666.0,Rrs_667.0,Rrs_668.0,Rrs_670.0,Rrs_671.0,Rrs_672.0,Rrs_673.0,Rrs_675.0,Rrs_676.0,Rrs_677.0,Rrs_678.0,Rrs_679.0,Rrs_681.0,Rrs_682.0,Rrs_683.0,Rrs_684.0,Rrs_686.0,Rrs_687.0,Rrs_688.0,Rrs_689.0,Rrs_691.0,Rrs_692.0,Rrs_693.0,Rrs_694.0,Rrs_696.0,Rrs_697.0,Rrs_698.0,Rrs_699.0,Rrs_701.0,Rrs_702.0,Rrs_703.0,Rrs_704.0,Rrs_706.0,Rrs_707.0,Rrs_708.0,Rrs_709.0,Rrs_711.0,Rrs_712.0,Rrs_713.0,Rrs_714.0,Rrs_717.0,Rrs_719.0
SIO,32.867,-117.257,2024-03-11T19:15:00Z,3/11/24,15.9,2.75,0,,16.094438552856445,0.28615421056747437,1252,0,-0.001355499,-0.000853249,-0.000461999,-0.00028425,-2.55E-05,0.000409001,0.000626001,0.000775751,0.00093725,0.000957501,0.000972501,0.00128025,0.001530751,0.00135425,0.0013705,0.001814251,0.002097501,0.002129252,0.002049501,0.002141751,0.002582001,0.002684751,0.002432751,0.00227475,0.002345751,0.002377501,0.00238025,0.002414001,0.002448001,0.002515251,0.002565001,0.002619001,0.002659001,0.002734501,0.002893001,0.00292975,0.002855001,0.002868001,0.002879501,0.002874501,0.002924751,0.002959501,0.002931001,0.002932251,0.002975501,0.003017751,0.003078251,0.003120002,0.003136751,0.003142751,0.003153001,0.003157751,0.003165001,0.00317175,0.003177751,0.0031595,0.003180251,0.003208251,0.003132751,0.003050251,0.002972501,0.002882001,0.0028015,0.002726,0.002610501,0.002443501,0.002248001,0.002066252,0.001951251,0.001918751,0.001894502,0.001859001,0.001844251,0.001834751,0.001797501,0.001742001,0.001704501,0.001653751,0.001613501,0.001563501,0.001488501,0.001421001,0.001353751,0.001284501,0.001233251,0.00120025,0.001172001,0.001127001,0.001074001,0.00101875,0.000957001,0.000877001,0.000786001,0.000701251,0.000620502,0.00054575,0.000469251,0.000414,-3.05E-05,-3.75E-05,-5.12E-05,-6.05E-05,-6.72E-05,-6.72E-05,-6.80E-05,-7.45E-05,-7.52E-05,-7.12E-05,-6.82E-05,-6.05E-05,-5.82E-05,-5.90E-05,-5.90E-05,-5.35E-05,-5.30E-05,-5.07E-05,-5.42E-05,-6.07E-05,-7.15E-05,-8.05E-05,-8.37E-05,-8.50E-05,-7.87E-05,-8.22E-05,-8.75E-05,-9.65E-05,-0.000108249,-0.00011225,-0.000117749,-0.000117749,-0.000120999,-0.000120749,-0.000119999,-0.000118499,-0.000117499,-0.000116748,-0.000115999,-0.000114249,-0.000113999,-0.000111999,-0.000107499,-0.000105499,-0.000102249,-0.0001065,-0.000106249,-0.000107749,-0.000111999,-0.000108999,-0.000110749,-0.00010025,-8.50E-05,-8.00E-05,-7.52E-05,-8.67E-05,-9.27E-05,-9.12E-05,-8.20E-05,-7.17E-05,-6.15E-05,-5.12E-05,-5.07E-05,-4.40E-05,-3.75E-05,-3.50E-05,-2.90E-05,-2.75E-05,-2.57E-05,-2.60E-05,-2.05E-05,-2.25E-05,-5.25E-05,-9.65E-05
SIO,32.867,-117.257,2024-03-18T19:00:00Z,3/18/24,16.6,3.39,0,,15.812216758728027,0.5448577404022217,13768,6884,0.004074223,0.004237779,0.004391778,0.004373112,0.004464668,0.004735112,0.004867112,0.004993557,0.005000446,0.004911556,0.004828445,0.004979112,0.005162667,0.004957556,0.00482489,0.005082223,0.005229334,0.005331112,0.00531689,0.005321556,0.005628,0.005682223,0.005412223,0.005184445,0.005127335,0.004931557,0.004740001,0.004707334,0.004703779,0.004715556,0.004675334,0.004627557,0.004593778,0.00461489,0.004708001,0.004689555,0.004559113,0.004499334,0.004463112,0.004418001,0.004407334,0.004474224,0.004498445,0.004450223,0.004438,0.00442889,0.004443334,0.004435556,0.004411113,0.004323334,0.004255112,0.004260001,0.004249556,0.004235778,0.004232223,0.004203334,0.004198668,0.004184889,0.004080668,0.003986446,0.003902446,0.003811779,0.003720223,0.003630889,0.003525557,0.003380668,0.00319289,0.003006001,0.002895334,0.002857334,0.002826001,0.002782001,0.002751556,0.002712445,0.002653333,0.002593112,0.002551557,0.002502223,0.002454444,0.002407112,0.00233689,0.002270223,0.002203779,0.00213289,0.002081556,0.002045779,0.00202,0.001979779,0.001933334,0.001875557,0.001801779,0.001715557,0.001612445,0.001500668,0.001377557,0.00125289,0.001146445,0.001064668,0.00045089,0.000433334,0.000419335,0.000414001,0.000405779,0.000403778,0.000401779,0.000396224,0.000384667,0.000369779,0.000356668,0.000350001,0.000345113,0.000343334,0.000347779,0.000351334,0.000353112,0.000351334,0.00034289,0.000330668,0.000319335,0.000307779,0.000298223,0.000289112,0.000282223,0.000271556,0.000262223,0.000250445,0.000236668,0.000227334,0.000219779,0.000214446,0.000212,0.000207778,0.000207779,0.000209557,0.000208445,0.000205334,0.000210002,0.000210668,0.000212445,0.00021289,0.000214223,0.00021489,0.000214446,0.000211334,0.000212889,0.000213334,0.000214,0.000228445,0.000231112,0.000243556,0.00024889,0.00023889,0.000227113,0.000201334,0.000178889,0.000165556,0.000164667,0.000166001,0.000167779,0.000173557,0.000172001,0.000172223,0.000175557,0.000172889,0.000172223,0.000166446,0.000159334,0.000155556,0.000155334,0.000147112,9.200059866998345e-05,3.1556934118270874e-05
SIO,32.867,-117.257,2024-03-25T19:34:00Z,3/25/24,15.3,2.91,0,,15.387771606445312,0.5364872217178345,4381,4381,0.000801778,0.001038668,0.001248223,0.001266668,0.001382445,0.001838445,0.002138667,0.002298223,0.002401556,0.002372445,0.002404001,0.002704667,0.002981112,0.002774001,0.002680001,0.003080667,0.003415334,0.003628667,0.003615112,0.003617779,0.004078223,0.004202668,0.003886222,0.003636667,0.003594445,0.003422223,0.003262889,0.003268445,0.003262668,0.003296001,0.003300889,0.003278223,0.003262222,0.003307335,0.003473556,0.003506667,0.003389111,0.003350223,0.003336667,0.00330489,0.003338224,0.003479334,0.003545112,0.003524224,0.003537334,0.00353089,0.003560223,0.003560001,0.003530223,0.003446224,0.003395556,0.003425113,0.003435779,0.003457779,0.003485779,0.003479334,0.003507334,0.003530223,0.003444446,0.003375556,0.003316445,0.00323889,0.003175779,0.003138223,0.003060668,0.002929335,0.002770668,0.002599112,0.002496,0.002476223,0.002461556,0.002419334,0.002398224,0.002357333,0.002290445,0.002233335,0.002195557,0.002160891,0.002122224,0.002080001,0.002017112,0.001952889,0.001890668,0.001813778,0.001749779,0.001712445,0.001687557,0.001627557,0.001569334,0.00150889,0.001426446,0.001333556,0.001228668,0.001123557,0.001024,0.000920668,0.000823112,0.00075889,0.000159113,0.000151779,0.000154224,0.000146445,0.000141778,0.000139334,0.000122667,0.000122445,0.000128445,0.000125112,0.000116001,0.000109556,0.000110445,0.000110223,0.000112445,0.000124223,0.000127556,0.000131557,0.000126668,0.000118667,0.000110001,0.000104001,0.000100446,9.711252641864121e-05,9.555659198667854e-05,8.288936805911362e-05,7.00002710800618e-05,5.2445051551330835e-05,3.600120544433594e-05,2.644542109919712e-05,1.822329249989707e-05,1.1556264325918164e-05,1.333405543846311e-05,8.000268280738965e-06,1.4000882401887793e-05,1.777915531420149e-05,1.777915531420149e-05,2.2446116417995654e-05,2.8000937163596973e-05,3.4444863558746874e-05,3.311162072350271e-05,3.400030982447788e-05,3.5555825888877735e-05,3.600037598516792e-05,3.888954597641714e-05,3.688989454531111e-05,3.688989454531111e-05,3.622265285230242e-05,3.177879625582136e-05,3.8223133742576465e-05,3.755630677915178e-05,5.1334500312805176e-05,6.489041697932407e-05,7.244489097502083e-05,7.377854490187019e-05,5.755614984082058e-05,4.37787821283564e-05,3.7112171412445605e-05,4.3779196857940406e-05,5.088953548693098e-05,5.888938903808594e-05,6.777876114938408e-05,6.466731429100037e-05,6.866744661238045e-05,7.133433973649517e-05,7.088979327818379e-05,7.333399844355881e-05,7.222386193461716e-05,7.02229663147591e-05,7.40008254069835e-05,7.644543802598491e-05,7.133392500691116e-05,3.2445623219246045e-05,-1.73E-05
SIO,32.867,-117.257,2024-04-01T19:27:00Z,4/1/24,14.8,3.68,0,,14.922215461730957,1.3528038263320923,13142,6884,0.004197335,0.004220667,0.004202446,0.004043556,0.004008001,0.004151779,0.004219556,0.004270224,0.004238667,0.004079112,0.003915334,0.003954668,0.004056001,0.003807112,0.003592446,0.00371889,0.003786668,0.003887556,0.003890446,0.003835334,0.00407489,0.004103334,0.003841557,0.003609112,0.003530223,0.003348445,0.003158223,0.00312089,0.003075112,0.003053112,0.003021557,0.00298289,0.002948667,0.002957334,0.003042001,0.003052445,0.002960001,0.002917334,0.002907556,0.002907335,0.002933778,0.00299489,0.003003556,0.002982445,0.002992445,0.002993779,0.003002222,0.003005556,0.002999556,0.002980001,0.002987557,0.003022001,0.003053556,0.003097779,0.003129779,0.003121335,0.003143556,0.003155335,0.003091112,0.003060223,0.00304689,0.003017557,0.003005779,0.003010446,0.002987779,0.002919112,0.002824667,0.002732889,0.002682,0.002685557,0.002695778,0.002679557,0.002686223,0.00269289,0.002683112,0.002653556,0.002630446,0.002610889,0.002595334,0.002573779,0.002537557,0.002491556,0.002441334,0.002397113,0.00237689,0.002363556,0.002354446,0.002325335,0.002280001,0.002228001,0.002163334,0.002076667,0.00196289,0.001842001,0.001694001,0.001541779,0.001409334,0.001297113,0.000517112,0.0005,0.000496445,0.000481556,0.00047289,0.000474001,0.000468889,0.000460223,0.000449334,0.000432223,0.000425112,0.000421112,0.000415779,0.000408667,0.000406668,0.000410668,0.00040889,0.000409335,0.000400224,0.00039289,0.000382001,0.000369113,0.000361556,0.00035089,0.000341778,0.000327778,0.000315112,0.000302223,0.000289112,0.000282668,0.000273334,0.000268223,0.000269112,0.00027,0.000280001,0.000285112,0.000291778,0.000302446,0.000312889,0.000322223,0.000332668,0.000340223,0.000345779,0.000350224,0.000350224,0.000348223,0.000347556,0.000346001,0.000340001,0.000341334,0.000337111,0.000337778,0.000337334,0.000326001,0.000311556,0.000286668,0.000266668,0.000257112,0.000248446,0.000246445,0.000244001,0.000240667,0.000235113,0.000231112,0.000228001,0.000221779,0.000218667,0.000210667,0.000201112,0.000194001,0.000191112,0.000180223,0.000119779,4.9556707381270826e-05
SIO,32.867,-117.257,2024-04-08T19:53:00Z,4/8/24,15.6,2.13,0,,15.309993743896484,0.5476630926132202,1252,0,0.000369779,0.000518668,0.000662445,0.000708889,0.00085089,0.001154001,0.001343113,0.001463778,0.001504668,0.001475556,0.001497111,0.001720445,0.001903556,0.001739334,0.001711778,0.002040668,0.002237779,0.002211112,0.002111112,0.002168668,0.002491778,0.002550224,0.00234089,0.002190223,0.00219089,0.002183778,0.002174668,0.002186446,0.002208223,0.002257111,0.00227,0.002274668,0.002296445,0.002338668,0.002459113,0.002507334,0.002439557,0.002434223,0.002450667,0.002465334,0.002507779,0.002520668,0.002496445,0.002506223,0.002534667,0.002552223,0.002586667,0.002610445,0.002625779,0.002667113,0.00271889,0.002752667,0.002780445,0.002818445,0.002848446,0.002855556,0.002894223,0.002925779,0.002872445,0.002836223,0.002812001,0.002774223,0.002739556,0.002726223,0.00268689,0.002569112,0.002411334,0.002268667,0.002190667,0.002175556,0.002163112,0.002134667,0.002123334,0.002118446,0.002093334,0.00205689,0.002025779,0.001987557,0.001952667,0.001913557,0.00185689,0.001780445,0.001707112,0.00164289,0.00159889,0.001560445,0.001531557,0.001490891,0.001446445,0.001411779,0.001371112,0.00129889,0.001205778,0.001106223,0.001003335,0.000900668,0.000813334,0.000763112,0.000188001,0.000176001,0.000170223,0.000158446,0.000156668,0.000159557,0.000169334,0.000171112,0.000162668,0.000151112,0.000146001,0.000141334,0.000138,0.000135335,0.000140223,0.000152889,0.000164001,0.000169778,0.000167779,0.000158001,0.000146446,0.000136667,0.00012889,0.000122668,0.000118001,0.000104445,9.288969886256382e-05,7.68895770306699e-05,6.333407509373501e-05,5.288960164762102e-05,4.3111955164931715e-05,3.955637293984182e-05,3.777816891670227e-05,3.4445689379936084e-05,4.02227888116613e-05,4.133416587137617e-05,4.0000511944526806e-05,4.133375114179216e-05,4.422292113304138e-05,4.822305345442146e-05,4.800119495484978e-05,5.244546628091484e-05,5.400097870733589e-05,5.489008253789507e-05,5.666746073984541e-05,5.288960164762102e-05,5.133408558322117e-05,5.466739457915537e-05,5.7112425565719604e-05,6.822248542448506e-05,7.488992559956387e-05,8.688991511007771e-05,9.822266292758286e-05,9.577845776220784e-05,9.088921797228977e-05,7.155620551202446e-05,5.666746073984541e-05,5.6222910643555224e-05,6.155669689178467e-05,7.266799366334453e-05,8.044474816415459e-05,8.755674207350239e-05,8.644536137580872e-05,8.955639350460842e-05,9.04454936971888e-05,9.04454936971888e-05,8.911225449992344e-05,8.489025640301406e-05,8.200067532015964e-05,8.266750228358433e-05,8.866811549523845e-05,8.866729331202805e-05,2.800010952341836e-05,-4.36E-05
SIO,32.867,-117.257,2024-04-15T18:58:00Z,4/15/24,15.7,1.39,0,,15.393327713012695,0.7860019207000732,2504,0,0.003838668,0.003848001,0.003852223,0.003778223,0.003825112,0.003989334,0.00403489,0.00409289,0.004075557,0.003979556,0.003922667,0.00406289,0.004191334,0.00397489,0.003879334,0.004185556,0.004330222,0.004212223,0.004016223,0.004009779,0.004255334,0.004242223,0.003974223,0.003770446,0.003719556,0.00367689,0.003632445,0.003608223,0.003586445,0.003577556,0.003553333,0.003528668,0.00351289,0.003533113,0.00361889,0.003624445,0.003528668,0.003496668,0.003485557,0.00347889,0.003514223,0.003514668,0.00348089,0.003483334,0.003496668,0.00350889,0.003532445,0.003547557,0.003554001,0.003580223,0.00363,0.003654,0.00366689,0.003690223,0.003712667,0.003717112,0.003744223,0.003760668,0.003708445,0.003672,0.003645333,0.00361089,0.003587334,0.003576889,0.003549779,0.003447556,0.003307334,0.003183112,0.003109556,0.003093778,0.003085557,0.00306689,0.003064001,0.003060445,0.003034445,0.002987556,0.002946668,0.002900002,0.002858445,0.002811556,0.002738223,0.002647779,0.002558445,0.002480444,0.002426889,0.002387779,0.002351556,0.002302001,0.002244001,0.002182223,0.002106223,0.002003111,0.00188289,0.001755556,0.00161089,0.001464001,0.001330446,0.00122489,0.000442001,0.000427779,0.000416223,0.000403112,0.000395779,0.000392668,0.000391778,0.000384001,0.000370001,0.000354889,0.000345112,0.000338889,0.000336,0.000331778,0.000334445,0.000339334,0.000339556,0.000340446,0.000334445,0.000326445,0.00031489,0.000304223,0.000294223,0.000285556,0.000278001,0.000265334,0.000253334,0.000239556,0.00022689,0.000216667,0.000210001,0.000204223,0.000202224,0.000201112,0.000204001,0.000206223,0.000206446,0.000209556,0.000214001,0.000214667,0.000217113,0.000219779,0.00022289,0.000224668,0.000226667,0.000223779,0.000221334,0.00022089,0.000220001,0.000227334,0.000229556,0.000232223,0.000229779,0.000217334,0.000202446,0.000181779,0.000168889,0.000163779,0.000166445,0.000169556,0.000170001,0.000170223,0.000165779,0.000164223,0.000163778,0.000158668,0.000155779,0.000149556,0.000144001,0.000139334,0.000138001,0.00012689,6.355676305247471e-05,6.676548309769714e-07
SIO,32.867,-117.257,2024-04-22T18:56:00Z,4/22/24,16.2,4.1,0,,16.574440002441406,0.7280698418617249,1252,0,0.001400001,0.001531334,0.001668,0.001719556,0.001866223,0.002138889,0.002279334,0.002396223,0.002440001,0.002437111,0.002469335,0.002677779,0.002854445,0.002711778,0.002678445,0.002986445,0.003168446,0.003136667,0.003034667,0.003088445,0.00337689,0.003420445,0.003206668,0.003054223,0.003042222,0.00302089,0.003008223,0.003011334,0.003023556,0.00305289,0.003057779,0.003054445,0.003060001,0.003111112,0.003220002,0.003253112,0.003191556,0.003188445,0.003206445,0.003224446,0.003275556,0.00332689,0.003346001,0.00336489,0.003404667,0.003435112,0.003472,0.003507779,0.003529112,0.003548445,0.003591334,0.003626889,0.003656445,0.003694668,0.003720445,0.003719112,0.003749334,0.003767556,0.003707334,0.003656889,0.003626446,0.003590667,0.003561111,0.003545556,0.003511557,0.003413334,0.003266223,0.00311889,0.003038223,0.003025557,0.003020445,0.003007778,0.003001112,0.002990001,0.002951335,0.002900001,0.002860445,0.002814001,0.002765778,0.002708001,0.002633556,0.002550223,0.002461556,0.002385557,0.002333334,0.002293112,0.002259334,0.002213113,0.002154445,0.002088667,0.002014223,0.001909335,0.00178889,0.001659112,0.001521557,0.001377334,0.001246445,0.001144667,0.000370668,0.000362667,0.000358223,0.000344668,0.000334001,0.000332668,0.000331779,0.000330446,0.00032089,0.000307334,0.000297112,0.000289778,0.000286223,0.00028089,0.000285779,0.00029089,0.000295779,0.000299778,0.000295557,0.000285112,0.000272446,0.000258889,0.00024889,0.000244446,0.000240667,0.000230224,0.000220001,0.000205334,0.000192223,0.000183112,0.000176667,0.000172001,0.000169779,0.000165335,0.000163779,0.000165335,0.000163334,0.000160889,0.000162889,0.000164223,0.000163556,0.000165334,0.000168001,0.000168446,0.000170223,0.000165556,0.000165334,0.000166001,0.00016689,0.000178223,0.000183112,0.00019089,0.000191556,0.000183112,0.000174001,0.000156445,0.000143334,0.000137334,0.000139557,0.000143112,0.000144445,0.000146223,0.000142224,0.00014089,0.000140224,0.000137334,0.000135779,0.000129779,0.000122223,0.00011978,0.000118446,0.000111779,6.511145329568535e-05,1.155667814600747e-05
SIO,32.867,-117.257,2024-04-29T19:41:00Z,4/29/24,17.5,4.03,0,,16.95777130126953,0.7280698418617249,10638,0,0.001400001,0.001531334,0.001668,0.001719556,0.001866223,0.002138889,0.002279334,0.002396223,0.002440001,0.002437111,0.002469335,0.002677779,0.002854445,0.002711778,0.002678445,0.002986445,0.003168446,0.003136667,0.003034667,0.003088445,0.00337689,0.003420445,0.003206668,0.003054223,0.003042222,0.00302089,0.003008223,0.003011334,0.003023556,0.00305289,0.003057779,0.003054445,0.003060001,0.003111112,0.003220002,0.003253112,0.003191556,0.003188445,0.003206445,0.003224446,0.003275556,0.00332689,0.003346001,0.00336489,0.003404667,0.003435112,0.003472,0.003507779,0.003529112,0.003548445,0.003591334,0.003626889,0.003656445,0.003694668,0.003720445,0.003719112,0.003749334,0.003767556,0.003707334,0.003656889,0.003626446,0.003590667,0.003561111,0.003545556,0.003511557,0.003413334,0.003266223,0.00311889,0.003038223,0.003025557,0.003020445,0.003007778,0.003001112,0.002990001,0.002951335,0.002900001,0.002860445,0.002814001,0.002765778,0.002708001,0.002633556,0.002550223,0.002461556,0.002385557,0.002333334,0.002293112,0.002259334,0.002213113,0.002154445,0.002088667,0.002014223,0.001909335,0.00178889,0.001659112,0.001521557,0.001377334,0.001246445,0.001144667,0.000370668,0.000362667,0.000358223,0.000344668,0.000334001,0.000332668,0.000331779,0.000330446,0.00032089,0.000307334,0.000297112,0.000289778,0.000286223,0.00028089,0.000285779,0.00029089,0.000295779,0.000299778,0.000295557,0.000285112,0.000272446,0.000258889,0.00024889,0.000244446,0.000240667,0.000230224,0.000220001,0.000205334,0.000192223,0.000183112,0.000176667,0.000172001,0.000169779,0.000165335,0.000163779,0.000165335,0.000163334,0.000160889,0.000162889,0.000164223,0.000163556,0.000165334,0.000168001,0.000168446,0.000170223,0.000165556,0.000165334,0.000166001,0.00016689,0.000178223,0.000183112,0.00019089,0.000191556,0.000183112,0.000174001,0.000156445,0.000143334,0.000137334,0.000139557,0.000143112,0.000144445,0.000146223,0.000142224,0.00014089,0.000140224,0.000137334,0.000135779,0.000129779,0.000122223,0.00011978,0.000118446,0.000111779,6.511145329568535e-05,1.155667814600747e-05
SIO,32.867,-117.257,2024-05-06T19:10:00Z,5/6/24,16.7,3.22,0,,16.93999481201172,1.2867562770843506,19400,30038,0.001109335,0.001315334,0.001506223,0.001540446,0.001688223,0.001963334,0.002089112,0.002236001,0.002307779,0.002297779,0.002311778,0.002495778,0.002650667,0.00250889,0.002482445,0.002753557,0.002888445,0.002870668,0.002817556,0.002879335,0.003165113,0.003234223,0.003049112,0.002918446,0.002925556,0.002900223,0.002875334,0.002885779,0.002886001,0.002896001,0.00289,0.002893112,0.002892668,0.002924889,0.003027334,0.003050667,0.002983334,0.002973778,0.002985556,0.003007112,0.003067556,0.00312289,0.003142667,0.003172001,0.003211112,0.003237334,0.003278889,0.003316001,0.003345334,0.003372,0.003421112,0.003471778,0.003515556,0.003566667,0.003610668,0.003627778,0.003666001,0.00367889,0.003618223,0.003583778,0.003569112,0.003546001,0.003543778,0.003575778,0.003586889,0.003530001,0.003431113,0.003326001,0.003273334,0.003285779,0.00330689,0.003317334,0.003332668,0.003339779,0.003322002,0.003287112,0.003254889,0.003213779,0.003181557,0.003141113,0.003076001,0.002994667,0.002912223,0.002846222,0.002809112,0.002792445,0.00277689,0.002734889,0.002679334,0.002615778,0.002531779,0.002411557,0.002274001,0.002123556,0.00195289,0.001781111,0.001626667,0.001504667,0.000542446,0.000526001,0.00051089,0.000494667,0.00048689,0.00048289,0.00049489,0.000494,0.000475112,0.000458224,0.000440223,0.000428667,0.000425778,0.000424445,0.000426001,0.000435557,0.000443112,0.000445334,0.000439112,0.000428667,0.000416446,0.000405556,0.000396668,0.000388,0.000375556,0.000357556,0.000342223,0.000323334,0.000307334,0.000295334,0.000284223,0.000279557,0.00027689,0.000273334,0.000276223,0.000275335,0.000275556,0.000276445,0.000282,0.00028489,0.000286445,0.000289112,0.000291334,0.000292446,0.000292668,0.000291113,0.000290224,0.000295778,0.000304223,0.000322222,0.00033489,0.000341334,0.000337556,0.000319111,0.000299556,0.000274445,0.000255333,0.000247779,0.000246668,0.000249557,0.000249779,0.000250224,0.000243112,0.000238001,0.000235112,0.00022889,0.000223779,0.000215778,0.000207335,0.000200668,0.000196889,0.000186446,0.000116001,4.244512820150703e-05
SIO,32.867,-117.257,2024-05-13T18:31:00Z,5/13/24,17.7,3.39,0,,17.48666000366211,0.8402714729309082,65084,6258,0.000548001,0.000855501,0.001126251,0.001211001,0.00132325,0.001563751,0.00170425,0.001942251,0.00211825,0.002106251,0.002082,0.00230825,0.002439752,0.002215251,0.002159751,0.002420251,0.002511002,0.002501001,0.002510752,0.002605252,0.002882751,0.002965501,0.002800001,0.0026635,0.002668001,0.002650751,0.0026375,0.002634001,0.002633751,0.002653751,0.00262625,0.002615251,0.002615251,0.002655751,0.002770751,0.002784001,0.0027255,0.00273,0.002740251,0.002754751,0.002804501,0.002850251,0.002867001,0.002883751,0.002908751,0.002926001,0.002951001,0.002970751,0.002995001,0.003001001,0.003023752,0.003044,0.003044501,0.003059751,0.003110751,0.003151,0.003206251,0.00322525,0.003152251,0.00310625,0.003084251,0.003059752,0.003059751,0.003082501,0.003087501,0.003026501,0.002918501,0.002806751,0.002754751,0.002767751,0.002780001,0.002772251,0.00276925,0.002762001,0.002734751,0.002694251,0.002660501,0.002621751,0.002590751,0.002551251,0.00249775,0.002412501,0.00233375,0.002279251,0.002239001,0.002219751,0.002210001,0.002171751,0.002118251,0.002053251,0.00195525,0.001825,0.001687751,0.001563501,0.001447001,0.001327751,0.001228251,0.001156001,0.000319251,0.000299001,0.000288001,0.00026975,0.000251501,0.000238751,0.000243251,0.000244751,0.000232501,0.000227501,0.000224751,0.000225501,0.000225001,0.0002265,0.000230501,0.000241501,0.000243752,0.000251501,0.000248251,0.000241751,0.000237501,0.000228751,0.000227751,0.000223751,0.000217251,0.000202751,0.000187751,0.000167751,0.000154002,0.000146501,0.000133751,0.000130501,0.000127001,0.000122752,0.000126001,0.000126501,0.000126001,0.000127501,0.000129251,0.000131251,0.0001295,0.000131001,0.000130251,0.000129251,0.00012975,0.000125001,0.000124001,0.000128501,0.000132502,0.00014775,0.000157501,0.000166501,0.000166001,0.000155251,0.000149752,0.000132502,0.000121501,0.00011675,0.000114501,0.000122751,0.000128251,0.000132001,0.000129001,0.000125251,0.000127251,0.000124001,0.000123501,0.000119001,0.000114501,0.000109751,0.000110251,0.000101501,4.5501161366701126e-05,-7.75E-06
