Top 20 |r| band pairs for abundance_delicatissima_cells_L
  λ1=467, λ2=462  r=+0.1644
  λ1=462, λ2=467  r=-0.1644
  λ1=470, λ2=462  r=+0.1520
  λ1=462, λ2=470  r=-0.1520
  λ1=467, λ2=465  r=+0.1477
  λ1=465, λ2=467  r=-0.1477
  λ1=452, λ2=450  r=+0.1463
  λ1=450, λ2=452  r=-0.1463
  λ1=440, λ2=432  r=+0.1385
  λ1=432, λ2=440  r=-0.1385
  λ1=462, λ2=465  r=-0.1372
  λ1=465, λ2=462  r=+0.1372
  λ1=490, λ2=485  r=-0.1371
  λ1=485, λ2=490  r=+0.1371
  λ1=442, λ2=432  r=+0.1346
  λ1=432, λ2=442  r=-0.1346
  λ1=490, λ2=487  r=-0.1341
  λ1=487, λ2=490  r=+0.1341
  λ1=465, λ2=470  r=-0.1311
  λ1=470, λ2=465  r=+0.1311

Top 20 |r| band pairs for abundance_seriata_cells_L
  λ1=522, λ2=520  r=+0.1968
  λ1=520, λ2=522  r=-0.1968
  λ1=522, λ2=517  r=+0.1952
  λ1=517, λ2=522  r=-0.1952
  λ1=467, λ2=470  r=-0.1941
  λ1=470, λ2=467  r=+0.1941
  λ1=467, λ2=472  r=-0.1932
  λ1=472, λ2=467  r=+0.1932
  λ1=465, λ2=472  r=-0.1892
  λ1=472, λ2=465  r=+0.1892
  λ1=525, λ2=517  r=+0.1889
  λ1=517, λ2=525  r=-0.1889
  λ1=525, λ2=520  r=+0.1867
  λ1=520, λ2=525  r=-0.1867
  λ1=520, λ2=432  r=+0.1858
  λ1=432, λ2=520  r=-0.1858
  λ1=520, λ2=517  r=+0.1854
  λ1=517, λ2=520  r=-0.1854
  λ1=440, λ2=517  r=-0.1826
  λ1=517, λ2=440  r=+0.1826
