Top 20 |r| band pairs for abundance_delicatissima_cells_L
  λ1=588, λ2=586  r=+0.2485
  λ1=586, λ2=588  r=-0.2485
  λ1=588, λ2=583  r=+0.2340
  λ1=583, λ2=588  r=-0.2340
  λ1=627, λ2=630  r=-0.2331
  λ1=630, λ2=627  r=+0.2331
  λ1=652, λ2=643  r=+0.2314
  λ1=643, λ2=652  r=-0.2314
  λ1=651, λ2=643  r=+0.2305
  λ1=643, λ2=651  r=-0.2305
  λ1=646, λ2=650  r=-0.2298
  λ1=650, λ2=646  r=+0.2298
  λ1=657, λ2=655  r=-0.2292
  λ1=655, λ2=657  r=+0.2292
  λ1=532, λ2=530  r=+0.2262
  λ1=530, λ2=532  r=-0.2262
  λ1=651, λ2=645  r=+0.2242
  λ1=645, λ2=651  r=-0.2242
  λ1=652, λ2=637  r=+0.2239
  λ1=637, λ2=652  r=-0.2239

Top 20 |r| band pairs for abundance_seriata_cells_L
  λ1=615, λ2=620  r=+0.3636
  λ1=620, λ2=615  r=-0.3636
  λ1=615, λ2=623  r=+0.3586
  λ1=623, λ2=615  r=-0.3586
  λ1=618, λ2=620  r=+0.3537
  λ1=620, λ2=618  r=-0.3537
  λ1=625, λ2=615  r=-0.3468
  λ1=615, λ2=625  r=+0.3468
  λ1=618, λ2=623  r=+0.3409
  λ1=623, λ2=618  r=-0.3409
  λ1=618, λ2=615  r=-0.3398
  λ1=615, λ2=618  r=+0.3398
  λ1=618, λ2=625  r=+0.3163
  λ1=625, λ2=618  r=-0.3163
  λ1=623, λ2=613  r=-0.3133
  λ1=613, λ2=623  r=+0.3133
  λ1=625, λ2=613  r=-0.3113
  λ1=613, λ2=625  r=+0.3113
  λ1=613, λ2=620  r=+0.3057
  λ1=620, λ2=613  r=-0.3057
